"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Trade Value Growth","Trade Value Growth Value","Year"
"Meat & edible offal",102,"Frozen Bovine Meat",10202,"Animal Products",1,12714,-0.815864556027054,-56333,2023
"Meat & edible offal",102,"Pig Meat",10203,"Animal Products",1,5211,,,2023
"Meat & edible offal",102,"Sheep and Goat Meat",10204,"Animal Products",1,2361,,,2023
"Meat & edible offal",102,"Edible Offal",10206,"Animal Products",1,2519,,,2023
"Meat & edible offal",102,"Poultry Meat",10207,"Animal Products",1,6905,-0.8946123321123322,-58614.99999999999,2023
"Meat & edible offal",102,"Other Meat",10208,"Animal Products",1,613,,,2023
"Meat & edible offal",102,"Preserved Meat",10210,"Animal Products",1,1737,-0.7789795139330704,-6122,2023
"Fish, Crustaceans & Molluscs",103,"Non-fillet Frozen Fish",10303,"Animal Products",1,5678050,-0.36833836741046266,-3311019,2023
"Fish, Crustaceans & Molluscs",103,"Fish Fillets",10304,"Animal Products",1,5311910,0.3644611443070542,1418864,2023
"Fish, Crustaceans & Molluscs",103,"Dried/Salted/Smoked/Brined Fish",10305,"Animal Products",1,19597,144.16296296296295,19462,2023
"Fish, Crustaceans & Molluscs",103,"Crustaceans",10306,"Animal Products",1,754681,3.2723032069970848,578036,2023
"Fish, Crustaceans & Molluscs",103,"Molluscs",10307,"Animal Products",1,8619087,0.4983037995411784,2866524,2023
"Fish, Crustaceans & Molluscs",103,"Aquatic invertebrates, other than crustaceans and molluscs",10308,"Animal Products",1,18871,-0.382230660948702,-11676,2023
"Edible products of animal origin, n.e.s.",104,"Milk",10401,"Animal Products",1,1964,0.5464566929133858,694,2023
"Edible products of animal origin, n.e.s.",104,"Concentrated Milk",10402,"Animal Products",1,63906,-0.5335430611008518,-73097,2023
"Edible products of animal origin, n.e.s.",104,"Fermented Milk Products",10403,"Animal Products",1,410,-0.41761363636363635,-294,2023
"Edible products of animal origin, n.e.s.",104,"Butter",10405,"Animal Products",1,38699,0.004542622780604299,175,2023
"Edible products of animal origin, n.e.s.",104,"Cheese",10406,"Animal Products",1,1736,0.09045226130653267,144,2023
"Edible products of animal origin, n.e.s.",104,"Processed Egg Products",10408,"Animal Products",1,46,,,2023
"Edible products of animal origin, n.e.s.",104,"Honey",10409,"Animal Products",1,17,0.8888888888888885,7.999999999999998,2023
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Other live plants, cuttings and slips;
mushroom spawn",20602,"Vegetable Products",2,1626,,,2023
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Cut Flowers",20603,"Vegetable Products",2,65.00000000000001,6.222222222222222,56.000000000000014,2023
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Plant foliage",20604,"Vegetable Products",2,23,-0.9535353535353536,-472,2023
"Edible vegetables, roots, & tubers",207,"Potatoes",20701,"Vegetable Products",2,1090,,,2023
"Edible vegetables, roots, & tubers",207,"Onions",20703,"Vegetable Products",2,216.00000000000003,-0.5977653631284916,-321,2023
"Edible vegetables, roots, & tubers",207,"Other Vegetables",20709,"Vegetable Products",2,482.00000000000006,-0.9910956753062016,-53649,2023
